Entidad,Accidentes viales 2018,Población,Tasaaccidentes,Grupo,Total decesos,Total lesionados,Tdecesoscienmh,Tlesioncienmh,Catdesc,Catles
Aguascalientes,3773,1066233,353.86,MEDIO,81,"1,421",7.6,133.27,ALTO,ALTO
Baja California,16300,2856361,570.66,ALTO,65,"2,249",2.28,78.74,BAJO,BAJO
Baja California Sur,3101,512030,605.63,ALTO,27,968,5.27,189.05,MEDIO,ALTO
Campeche,3403,755703,450.31,MEDIO,29,"1,122",3.84,148.47,BAJO,ALTO
Chiapas,3306,4293414,77,BAJO,108,"4,388",4.32,175.42,MEDIO,ALTO
Chihuahua,25938,3241513,800.18,ALTO,25,"1,787",4.4,314.26,MEDIO,ALTO
Ciudad de México,11651,8737172,133.35,BAJO,89,986,2.07,22.97,BAJO,BAJO
Coahuila de Zaragoza,13249,2501413,529.66,ALTO,294,"8,323",9.07,256.76,ALTO,ALTO
Colima,4931,568642,867.15,ALTO,240,"2,637",2.75,30.18,BAJO,BAJO
Durango,6147,1509025,407.35,MEDIO,114,"2,575",7.55,170.64,ALTO,ALTO
Guanajuato,19290,4894608,394.11,MEDIO,215,"6,285",4.39,128.41,MEDIO,MEDIO
Guerrero,4855,3115237,155.85,BAJO,62,"1,459",1.99,46.83,MEDIO,BAJO
Hidalgo,3172,2345514,135.24,BAJO,43,391,1.83,16.67,BAJO,BAJO
Jalisco,24957,6754506,369.49,MEDIO,398,"6,185",5.89,91.57,BAJO,BAJO
México,14060,14174039,99.2,BAJO,57,"2,002",0.4,14.12,MEDIO,BAJO
Michoacán de Ocampo,15029,3965878,378.96,MEDIO,200,"3,995",5.04,100.73,BAJO,MEDIO
Morelos,9260,1616209,572.95,ALTO,77,"2,600",4.76,160.87,MEDIO,ALTO
Nayarit,1513,952230,158.89,BAJO,47,663,4.94,69.63,MEDIO,MEDIO
Nuevo León,80863,4199361,"1,925.60",ALTO,249,"6,379",5.93,151.9,MEDIO,ALTO
Oaxaca,3910,3508986,111.43,BAJO,46,"1,591",1.31,45.34,MEDIO,BAJO
Puebla,7577,5386250,140.67,BAJO,231,"1,693",4.29,31.43,BAJO,BAJO
Querétaro,15185,1598179,950.14,ALTO,179,"1,507",11.2,94.29,MEDIO,BAJO
Quintana Roo,5055,1135436,445.2,MEDIO,70,"2,763",6.17,243.34,ALTO,ALTO
San Luis Potosí,5045,2413811,209.01,BAJO,132,"1,227",5.47,50.83,ALTO,MEDIO
Sinaloa,8318,2611306,318.54,MEDIO,302,"5,856",11.57,224.26,MEDIO,ALTO
Sonora,15938,2395297,665.39,ALTO,235,"3,940",9.81,164.49,ALTO,ALTO
Tabasco,2154,1991059,108.18,BAJO,42,798,2.11,40.08,ALTO,BAJO
Tamaulipas,12684,3024417,419.39,MEDIO,169,"3,086",5.59,102.04,BAJO,MEDIO
Tlaxcala,3398,1068467,318.03,MEDIO,101,909,9.45,85.08,MEDIO,BAJO
Veracruz de Ignacio de la Llave,12398,7117300,174.2,BAJO,163,"4,807",2.29,67.54,ALTO,BAJO
Yucatán,6247,1820537,343.14,MEDIO,40,"3,611",2.2,198.35,BAJO,ALTO
Zacatecas,2460,1368391,179.77,BAJO,97,988,7.09,72.2,BAJO,BAJO
Estados Unidos Mexicanos,365167,103498524,352.82,MEDIO,4227,89191,4.08,86.18,ALTO,BAJO
