delegacion,ano,lesionados,decesos
Alvaro Obregon,2016,7.2,2.80
Alvaro Obregon,2017,7.71,6.27
Alvaro Obregon,2018,7.62,2.67
Alvaro Obregon,2019,7.57,3.20
Azcapotzalco,2016,4.48,2.75
Azcapotzalco,2017,4.24,4.00
Azcapotzalco,2018,4.33,4.75
Azcapotzalco,2019,4.22,3.25
Benito Juarez,2016,7.44,2.16
Benito Juarez,2017,7.49,4.55
Benito Juarez,2018,7.64,3.35
Benito Juarez,2019,7.92,2.40
Coyoacan,2016,8.3,5.62
Coyoacan,2017,7.92,2.32
Coyoacan,2018,7.95,3.31
Coyoacan,2019,7.98,2.65
Cuajimalpa,2016,1.74,1.51
Cuajimalpa,2017,2.05,5.52
Cuajimalpa,2018,2,2.51
Cuajimalpa,2019,1.95,3.01
Cuauhtemoc,2016,10.3,6.76
Cuauhtemoc,2017,9.88,4.32
Cuauhtemoc,2018,10,4.88
Cuauhtemoc,2019,9.93,4.32
Gustavo A. Madero,2016,10.3,5.41
Gustavo A. Madero,2017,10.7,3.61
Gustavo A. Madero,2018,10.1,3.78
Gustavo A. Madero,2019,9.91,1.80
Iztacalco,2016,4.36,5.12
Iztacalco,2017,3.99,3.33
Iztacalco,2018,3.98,4.36
Iztacalco,2019,4.37,3.33
Iztapalapa,2016,16,5.53
Iztapalapa,2017,16.5,4.05
Iztapalapa,2018,16.4,3.50
Iztapalapa,2019,15.8,2.08
Magdalena Contreras,2016,1.39,1.23
Magdalena Contreras,2017,1.41,1.64
Magdalena Contreras,2018,1.55,3.69
Magdalena Contreras,2019,1.5,2.05
Miguel Hidalgo,2016,8.92,4.94
Miguel Hidalgo,2017,8.57,8.23
Miguel Hidalgo,2018,8.38,4.12
Miguel Hidalgo,2019,8.12,2.20
Milpa Alta,2016,0.48,1.45
Milpa Alta,2017,0.5,9.43
Milpa Alta,2018,0.55,4.35
Milpa Alta,2019,0.52,4.35
Tlahuac,2016,2.42,4.98
Tlahuac,2017,2.52,3.04
Tlahuac,2018,2.45,4.70
Tlahuac,2019,2.52,1.11
Tlalpan,2016,5.88,4.87
Tlalpan,2017,6.06,3.69
Tlalpan,2018,6.1,2.66
Tlalpan,2019,7.07,2.95
Venustiano Carranza,2016,6.95,8.19
Venustiano Carranza,2017,6.49,7.26
Venustiano Carranza,2018,6.73,5.38
Venustiano Carranza,2019,6.69,3.51
Xochimilco,2016,3.64,4.81
Xochimilco,2017,3.82,4.81
Xochimilco,2018,3.95,2.16
Xochimilco,2019,3.83,1.68
